Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
дикаря,"После смерти родителей молодой счетовод Уильям Блэйк в надежде найти работу приезжает на Дикий Запад, где по злой воле случая за его голову назначается награда в 500 долларов. Раненого в грудь возле сердца, его выхаживает индеец, которого много лет возили по городам Америки и Англии в качестве живого экспоната. Он принял этого юношу в очках за поэта Уильяма Блэйка, чьи стихи запали в сердце «дикаря», и стал его ангелом-хранителем. А опекаемый, лишившись очков, сам вдруг стал стрелять без промаха, увеличивая стоимость своей головы, оставляя за собой след из трупов лиц, охочих до награды, и приближаясь к тому «месту, откуда приходят и куда возвращаются все духи». Главная роль – Джонни Депп.",,,,,
"месту, откуда приходят и куда возвращаются все духи","После смерти родителей молодой счетовод Уильям Блэйк в надежде найти работу приезжает на Дикий Запад, где по злой воле случая за его голову назначается награда в 500 долларов. Раненого в грудь возле сердца, его выхаживает индеец, которого много лет возили по городам Америки и Англии в качестве живого экспоната. Он принял этого юношу в очках за поэта Уильяма Блэйка, чьи стихи запали в сердце «дикаря», и стал его ангелом-хранителем. А опекаемый, лишившись очков, сам вдруг стал стрелять без промаха, увеличивая стоимость своей головы, оставляя за собой след из трупов лиц, охочих до награды, и приближаясь к тому «месту, откуда приходят и куда возвращаются все духи». Главная роль – Джонни Депп.",,,,,
Горбатая гора,"На фоне живописных просторов штата Вайоминг разворачивается история сложных взаимоотношений двух молодых людей – помощника владельца ранчо и ковбоя родео. Герои случайно встречаются и скоро понимают, что не могут жить друг без друга. Однако судьба упрямо испытывает их на прочность. Главные роли: Хит Леджер, Энн Хэтэуэй и другие.",,,,,
Поезд на Юму,"После ареста известного бандита Бена Уэйда его банда продолжает угрожать местным жителям. Ветеран Гражданской войны и владелец небольшого ранчо Дэн Эванс соглашается тайно доставить Уэйда в ближайший город с железнодорожной станцией, чтобы того отправили на поезде в форт Юма. Как только они останавливаются в гостинице, становится очевидно, что тайна раскрыта, и за обоими начинается охота. Главная роль – Рассел Кроу.",,,,,
Железная хватка,"В этом фильме рассказывается история 14-летней девочки, стареющего судебного пристава Рустера Когберна и ещё одного законника. Вместе они идут по следам убийцы отца девочки, которые ведут во враждебную индейскую территорию. Главная роль – Джефф Бриджес.",,,,,
Джанго освобождённый,"Эксцентричный охотник за головами, также известный как Дантист, промышляет отстрелом самых опасных преступников. Работенка пыльная, и без надежного помощника ему не обойтись. Но как найти такого и желательно не очень дорогого? Освобождённый им раб по имени Джанго – прекрасная кандидатура. Правда, у нового помощника свои мотивы – кое с чем надо сперва разобраться.",,,,,
Выживший,"Охотник Хью Гласс серьезно ранен на неизведанных просторах американского Дикого Запада. Товарищ Хью по отряду покорителей новых земель Джон Фицжеральд предательски оставляет его умирать в одиночестве. Теперь у Гласса осталось только одно оружие – его сила воли. Он готов бросить вызов первобытной природе, суровой зиме и враждебным племенам индейцев, только чтобы выжить и отомстить Фицжеральду. Главная роль – Леонардо ДиКаприо.",,,США,,
Омерзительная восьмёрка,"США после Гражданской войны. Легендарный охотник за головами Джон Рут по кличке Вешатель конвоирует заключенную. По пути к ним прибиваются еще несколько путешественников. Снежная буря вынуждает компанию искать укрытие в лавке на отшибе, где уже расположилось весьма пестрое общество: генерал конфедератов, мексиканец, ковбой… И один из них - не тот, за кого себя выдает.",,,США,,
Любой ценой,"Тоби и его недавно вышедший из тюрьмы старший брат Таннер узнают, что на их покойной матери висел огромный кредит. И теперь, если не погасить долг в определённый срок, банк присвоит себе семейное ранчо. Пытаясь в столь короткий срок найти необходимую сумму, Тоби уговаривает брата пойти на рискованный шаг - ограбить несколько мелких банков. Главная роль – Джефф Бриджес.",,,,,
Ветреная река,"Штат Вайоминг. На территории индейской резервации «Ветреная река» егерь Кори Ламберт находит изувеченное тело молодой девушки. Начинающий агент ФБР, которая не знакома с местными природными условиями и обычаями, просит охотника из Департамента рыболовства и охоты помочь поймать убийц девушки.",,,,,
Баллада Бастера Скраггса,"События разворачиваются на Диком Западе в маленьких захолустных городках среди бескрайних американских прерий и высокогорных равнин. В этом суровом мире, где каждый сам за себя, царит один закон: выживает сильнейший.",,,США,,
Дракула Брэма Стокера,"Конец XIX века, Лондон. Молодой юрист Джонатан Харкер и красавица девушка Мина любят друг друга. Джонатан на время вынужден оставить невесту одну и отправиться по делам в Трансильванию к графу Дракуле, желающему приобрести недвижимость в столице Англии. Но Джонатан не знает, кто такой Дракула на самом деле…",,,,,
"Знакомьтесь, Джо Блэк",,,,,,
Как малые дети,,,,,,
Весенние надежды,,,,,,
"Куда ты пропала, Бернадетт?",,,,,,
Здесь была Бритт-Мари,,,,,,
Глория Белл,,,,,,
Мечтатели,,,,,,
Двойная жизнь Вероники,"В мире есть две очень похожие девушки с одинаковым именем. В Польше живет Вероника, у которой обнаруживается чудесный голос, и она начинает выступать на сцене. Во Франции живет другая Вероника, которая тоже мечтает петь, но ей не удается осуществить свое желание, и она с головой окунается в радости любви... Как будто что-то незримое связывает их: когда закончится жизненный путь одной, другая словно подхватит и продолжит ее жизнь...",,,Франция,,
Чертополох,"Картина рассказывает драматическую историю об отверженном человеке, бездомном алкоголике. Действие фильма происходит в период Великой американской депрессии. В родной город Олбани, штат Нью-Йорк, возвращается герой картины - Джек Филэн, опустившийся бродяга. Спустя 20 лет он вновь мучается воспоминаниями о трагическом и нелепом убийстве, совершенным им в юности, о крушении семейной жизни и смерти своего новорожденного ребенка. Раскаяние не позволяет герою воспользоваться прощением жены и возможностью вернуться к нормальной жизни. Он «чертополох», он привык к жизни «на дне» и предпочитает страдать и странствовать в одиночестве. Главные роли – Джек Николсон и Мэрил Стрип.",Драма,,США,,
чертополох,"Картина рассказывает драматическую историю об отверженном человеке, бездомном алкоголике. Действие фильма происходит в период Великой американской депрессии. В родной город Олбани, штат Нью-Йорк, возвращается герой картины - Джек Филэн, опустившийся бродяга. Спустя 20 лет он вновь мучается воспоминаниями о трагическом и нелепом убийстве, совершенным им в юности, о крушении семейной жизни и смерти своего новорожденного ребенка. Раскаяние не позволяет герою воспользоваться прощением жены и возможностью вернуться к нормальной жизни. Он «чертополох», он привык к жизни «на дне» и предпочитает страдать и странствовать в одиночестве. Главные роли – Джек Николсон и Мэрил Стрип.",Драма,,США,,
на дне,"Картина рассказывает драматическую историю об отверженном человеке, бездомном алкоголике. Действие фильма происходит в период Великой американской депрессии. В родной город Олбани, штат Нью-Йорк, возвращается герой картины - Джек Филэн, опустившийся бродяга. Спустя 20 лет он вновь мучается воспоминаниями о трагическом и нелепом убийстве, совершенным им в юности, о крушении семейной жизни и смерти своего новорожденного ребенка. Раскаяние не позволяет герою воспользоваться прощением жены и возможностью вернуться к нормальной жизни. Он «чертополох», он привык к жизни «на дне» и предпочитает страдать и странствовать в одиночестве. Главные роли – Джек Николсон и Мэрил Стрип.",Драма,,США,,
Холодное лето пятьдесят третьего...,,,,,,
Страх и вожделение,"Четыре солдата, пойманные в ловушку позади вражеских линий, должны противостоять своим страхам и желаниям…",,,,,
Поцелуй убийцы,"Боксер Дэйви Гордон заступился за танцовщицу Глорию Прис, когда на нее напал ее работодатель и любовник Винсент Рапалло. Это событие сближает их, и они становятся неразлучны, тем самым пробудив негодование со стороны Рапалло. Он нанимает людей, чтобы они убили Дэйви.",,,,,
Убийство,"Бывший заключенный Джонни Клэй планирует ограбление ипподрома, надеясь сорвать куш в 2 миллиона. Для осуществления тщательного проработанного плана он привлекает еще четырёх человек — кассира, продажного полицейского, бывшего алкоголика и бармена. Но всё пойдёт не по плану, потому что один из сообщников решил внести в него свои изменения.",,,,,
Тропы славы,"Действие киноромана разворачивается в 1916 году на Западном фронте. Полковник Дэкс командует пехотным полком французской армии. Уже два года союзники пытаются переломить ход войны с немцами. Начальник корпуса генерал Брулард приказывает дивизионному генералу Миро атаковать неприступную вражескую позицию, прозванную Муравьиным холмом. Провал операции был очевиден изначально, но, когда атака закончилась полной неудачей, генерал приказал судить и расстрелять за трусость троих человек. Полковник Дэкс тщетно пытался защитить солдат, выбранных произвольно. Они отдали свои жизни, чтобы прикрыть глупость и амбиции начальства…",,,Франция,,
Спартак,"История гладиатора Спартака, его возлюбленной Варинии и честолюбивого римского полководца Красса. Непреодолимая тяга к свободе заставляет Спартака поднять легендарное восстание рабов, ставшее важнейшей вехой мировой истории.",,,,надежда,
Лолита,,,,,,
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу","Cнятая по еще не остывшим следам Карибского кризиса комедия и сегодня вызывает смех. И дело не только в определенной злободневности, а в неповторимой интонации. Эксцентричная игра актеров (возможно, лучшая работа Питера Селлерса, сыгравшего в фильме сразу три роли), автоматные очереди диалогов и фирменный кубриковский перфекционизм. В этом стерильном пространстве удивительно много живого и будто бы случайного. Говорят, Кубрик и не собирался делать комедию, но в процессе работы над сценарием серьезное политическое высказывание стало все отчетливее обретать комичные черты. А ведь и правда: нет ничего абсурднее запертых в одном помещении безумных людей, вершащих судьбы целых народов. Чем глубже погружающихся в их мир, тем сильнее он отдает психиатрией. Из фильма-приговора «Доктор Стрейнджлав» превратился в фильм-диагноз».",Комедия,,,,
Доктор Стрейнджлав,"Cнятая по еще не остывшим следам Карибского кризиса комедия и сегодня вызывает смех. И дело не только в определенной злободневности, а в неповторимой интонации. Эксцентричная игра актеров (возможно, лучшая работа Питера Селлерса, сыгравшего в фильме сразу три роли), автоматные очереди диалогов и фирменный кубриковский перфекционизм. В этом стерильном пространстве удивительно много живого и будто бы случайного. Говорят, Кубрик и не собирался делать комедию, но в процессе работы над сценарием серьезное политическое высказывание стало все отчетливее обретать комичные черты. А ведь и правда: нет ничего абсурднее запертых в одном помещении безумных людей, вершащих судьбы целых народов. Чем глубже погружающихся в их мир, тем сильнее он отдает психиатрией. Из фильма-приговора «Доктор Стрейнджлав» превратился в фильм-диагноз».",Комедия,,,,
Заводной апельсин,"Безжалостный лидер банды подростков, совершающей убийства и изнасилования, попадает в тюрьму и подвергается специальной обработке по подавлению подсознательного стремления к насилию. Но жизнь за воротами тюрьмы такова, что меры, принятые по «исправлению жестокости характера», не могут ничего изменить. В главных ролях: Малколм МакДауэлл, Патрик Мэги, Майкл Бейтс. Уоррен Кларк, Джон Клайв. Эдриенн Корри, Карл Дюринг, Пол Фэррел, Клайв Фрэнсис, Майкл Говер.",Фантастика,,,,
исправлению жестокости характера,"Безжалостный лидер банды подростков, совершающей убийства и изнасилования, попадает в тюрьму и подвергается специальной обработке по подавлению подсознательного стремления к насилию. Но жизнь за воротами тюрьмы такова, что меры, принятые по «исправлению жестокости характера», не могут ничего изменить. В главных ролях: Малколм МакДауэлл, Патрик Мэги, Майкл Бейтс. Уоррен Кларк, Джон Клайв. Эдриенн Корри, Карл Дюринг, Пол Фэррел, Клайв Фрэнсис, Майкл Говер.",Фантастика,,,,
Барри Линдон,"История жизни простого ирландского парня Редмонда Барри. Будучи еще совсем молодым, он убил на дуэли офицера английской армии. Чтобы не попасть в руки полиции, ему пришлось покинуть родной дом и отправиться странствовать по Ирландии. Но странствия его были недолгими.",,,,,
Сияние,"Джек Торренс с женой и сыном приезжает в элегантный отдалённый отель, чтобы работать смотрителем во время мертвого сезона. Торренс здесь раньше никогда не бывал. Или это не совсем так? Ответ лежит во мраке, сотканном из преступного кошмара.",,,,,
Цельнометаллическая оболочка,"Американская база подготовки новобранцев корпуса морской пехоты. Жесточайшая, бесчеловечная система призвана превратить домашних мальчишек в натренированных хладнокровных убийц. Их готовят к войне во Вьетнаме, где им придется часто задавать себе вопрос «Разве война - это не ад?», а иначе просто невозможно убивать каждый день, не понимая, для чего это?",,,США,,
Разве война - это не ад?,"Американская база подготовки новобранцев корпуса морской пехоты. Жесточайшая, бесчеловечная система призвана превратить домашних мальчишек в натренированных хладнокровных убийц. Их готовят к войне во Вьетнаме, где им придется часто задавать себе вопрос «Разве война - это не ад?», а иначе просто невозможно убивать каждый день, не понимая, для чего это?",,,США,,
С широко закрытыми глазами,,,,,,
Крейцерова соната,"Фильм снят по одноименной повести Л.Н. Толстого. Сложные морально-нравственные проблемы, которые семейная жизнь ставит перед своими героями, делают фильм созвучным не только времени создания повести. В киноверсии, как и в ее первооснове, сталкиваются разные временные пласты, она остросюжетна и динамична, интересна и своеобразна по кинематографическому решению.",,,,,
История одного назначения,"В пехотном полку в Тульской области, куда отправляется на службу вдохновленный передовыми идеями столичный поручик Григорий Колокольцев, происходит преступление. Солдату, на плечи которого ложится вина, грозит военный трибунал и расстрел. Колокольцев обращается за помощью к графу Толстому, который решает защитить невиновного.",,,,,
Дневная красавица,,,,,,
Восток-Запад,,,,,,
Майерлинг,,Драма,,,,
Такое случается только с другими,,,,,,
Вандомская площадь,,Драма,,,,
Танцующая в темноте,,,,,,
"Короткий монтаж, или Короткие истории",,,,,,
Фарго,,,,,,
"Человек, которого не было","1949 год, Санта-Роза, Калифорния. Молчаливый парикмахер Эд Крэйн неторопливо стрижёт клиентов в своём салоне, в то время как его жена крутит шашни со своим боссом, галантерейщиком Большим Дэйвом, который недавно скопил деньги на новый магазин. Внезапно Эду выпадает возможность разбогатеть на зарождающемся бизнесе химической чистки одежды. Чтобы обзавестись капиталом, он шантажирует Большого Дэйва, понимая, что успеха в жизни он может добиться, лишь пойдя на крайние меры. Кажется, что в хитром замысле Эда нет изъянов. Однако вскоре он узнаёт, что, приняв это роковое решение, он подписал свой смертный приговор. Главные роли: Билли Боб Торнтон и Фрэнсис МакДорманд.",,1949,,,
Любовь по правилам и без,,,,,,
Северная страна,"После того, как распался ее брак, Джози Эймс в поисках работы возвращается в свой родной город в Северной Миннесоте. У нее двое детей, и чтобы обеспечить их, она вынуждена устроиться на шахту, где трудятся практически все местные мужчины, в том числе и ее отец. Оказавшись одной из немногих женщин, работающих на шахте, Джози сталкивается с суровой реальностью. Мужчины, не терпящие конкуренции со стороны представительниц слабого пола, выдвигают им свои унизительные требования. И тогда Джози, пойдя на большой риск, решает обратиться в суд, чтобы защитить себя и своих подруг. В итоге это дело становится первым прецедентом в США, когда был удовлетворен иск о сексуальном домогательстве…",,,США,,
Мисс Петтигрю,"Лондон, 30-е годы прошлого столетия. Своенравную мисс Гвинивер Петтигрю уже который раз увольняют с должности гувернантки. Успев стащить визитку работодателя в агентстве, девушка приходит по адресу и становится горничной, а затем и личным секретарем молодой актрисы. Взбалмошная нанимательница вводит Гвинивер в блестящий театральный мир - и начинается такое! За один вечер мисс Петтигрю преображается из серой мышки в даму из высшего света, добивается роли для своей хозяйки, примиряет рассорившуюся пару и безнадежно влюбляется. Словом - мисс Петтигрю живет одним днем! В главной роли - Фрэнсис МакДорманд.",,,,,
Королевство полной луны,"60-е годы XX века. Пара влюблённых подростков, живущих на острове в Новой Англии, убегает из-под присмотра взрослых. Сэм Шакаски — бойскаут, сирота, от которого отказались приемные родители, из-за своего непростого характера ставший изгоем среди других бойскаутов, и Сьюзи Бишоп — замкнутая двенадцатилетняя неуравновешенная девочка, живущая мечтами о волшебных мирах. После обнаружения пропажи местный шериф начинает расследование, а вожатый лагеря бойскаутов организует поисковый отряд.",,,,,
"Три билборда на границе Эббинга, Миссури",,,,,,
Земля кочевников,,,,,,
Бумажный дом,,,,,,
Сны,,,,,,
Открой глаза,,,,,,
Сон в летнюю ночь,,,,,,
Ба-бах!,,,,,,
"Пиф-паф, ой-ой-ой!","Пародия на театральные штампы. Сюжет популярного шуточного стихотворения поочерёдно разыгран в пяти различных театральных жанрах: 1) драма 2) оперетта 3) детский утренник 4) „экспериментальная постановка“ 5) опера Интересные факты. Финальная, пятая пародия («опера») завершается бравурным хором: «И ещё неоднократно выйдет зайчик погулять!..». В сценарии этот вокальный номер не прерывается на данной строчке, а имеет продолжение: «... слов не слышно, непонятно, непонятно - и плевать!». Но цензура запретила исполнять эту строчку в мультфильме, сочтя её пасквилем на советскую оперу.",Анимация,,Россия / СССР,,
опера,"Пародия на театральные штампы. Сюжет популярного шуточного стихотворения поочерёдно разыгран в пяти различных театральных жанрах: 1) драма 2) оперетта 3) детский утренник 4) „экспериментальная постановка“ 5) опера Интересные факты. Финальная, пятая пародия («опера») завершается бравурным хором: «И ещё неоднократно выйдет зайчик погулять!..». В сценарии этот вокальный номер не прерывается на данной строчке, а имеет продолжение: «... слов не слышно, непонятно, непонятно - и плевать!». Но цензура запретила исполнять эту строчку в мультфильме, сочтя её пасквилем на советскую оперу.",Анимация,,Россия / СССР,,
И ещё неоднократно выйдет зайчик погулять!..,"Пародия на театральные штампы. Сюжет популярного шуточного стихотворения поочерёдно разыгран в пяти различных театральных жанрах: 1) драма 2) оперетта 3) детский утренник 4) „экспериментальная постановка“ 5) опера Интересные факты. Финальная, пятая пародия («опера») завершается бравурным хором: «И ещё неоднократно выйдет зайчик погулять!..». В сценарии этот вокальный номер не прерывается на данной строчке, а имеет продолжение: «... слов не слышно, непонятно, непонятно - и плевать!». Но цензура запретила исполнять эту строчку в мультфильме, сочтя её пасквилем на советскую оперу.",Анимация,,Россия / СССР,,
"... слов не слышно, непонятно, непонятно - и плевать!","Пародия на театральные штампы. Сюжет популярного шуточного стихотворения поочерёдно разыгран в пяти различных театральных жанрах: 1) драма 2) оперетта 3) детский утренник 4) „экспериментальная постановка“ 5) опера Интересные факты. Финальная, пятая пародия («опера») завершается бравурным хором: «И ещё неоднократно выйдет зайчик погулять!..». В сценарии этот вокальный номер не прерывается на данной строчке, а имеет продолжение: «... слов не слышно, непонятно, непонятно - и плевать!». Но цензура запретила исполнять эту строчку в мультфильме, сочтя её пасквилем на советскую оперу.",Анимация,,Россия / СССР,,
Конфликт,"Герои фильма - обыкновенные спички, но разных цветов. Ссора, начавшаяся из-за надуманного повода одной из сторон, перешла в настоящее сражение... Это о бессмысленности войны и хрупкости мира.",Анимация,,,,
Брэк,"Фильм направлен против жестокости профессионального бокса. В музыкально-пародийной форме в нём высмеиваются недостойные приёмы и средства, применяемые ради достижения победы.",Анимация,,,,
Брак,"Это история о двух верёвочках, которых свела судьба возле стенда с брачными объявлениями. Она была великолепна, и он сразу в неё влюбился. Их чувства вспыхнули мгновенно, и вскоре они поженились. Его звали Буся, а её - Мася. На первом этапе их отношений всё было легко, и они всегда находили общий язык, но спустя время между этой парой стали всё чаще возникать ссоры, которые впоследствии оставляли видимые раны на теле верёвок. И если сначала раны можно было легко склеить, то потом они едва сшивались по живому. В этом мультфильме раскрыты все довольно стандартные обвинения и причины ссор. Можно сказать, что мультфильм «Брак» - это памфлет на брачный союз вульгарных людей, способных из-за мелочей и необоснованных вспышек причинять боль друг другу и своему ребёнку. Герои данного мультфильма разговаривают на смешном языке, и это в большей степени подчёркивает их ограниченность.",Анимация,,,,
Выкрутасы,"История проволочного человека, который защиту себя самого от окружающих довёл до полнейшего абсурда...",Анимация,,,,
Серый волк энд Красная шапочка,"Современная музыкальная комедия по мотивам известной сказки Шарля Перро ""Красная Шапочка"".",Анимация,,,,
Красная Шапочка,"Современная музыкальная комедия по мотивам известной сказки Шарля Перро ""Красная Шапочка"".",Анимация,,,,
Кот в сапогах,"Кот в мешке прибывает в Россию как часть гуманитарной помощи из Америки и достаётся молодому пьянице и горе-патриоту Карабасову, которому предлагает эмигрировать в Америку. Полёт на волшебном коте, который использует хвост в качестве пропеллера, обрывается над Европой. Там зазнавшийся юноша забывает о неоценимых услугах, которые оказал ему Кот в сапогах, и тот…",Анимация,,,,
Адажио,"Философская притча, рассказывающая о серой толпе, которая не знает и не хочет знать своей истории; о нетерпимости к чужому мнению, к чужой конфессии, к другому цвету кожи; о том, как искажаются последователями поиски вечных истин. На протяжении всего мультфильма звучит адажио соль минор Ремо Джадзотто, широко известное как «Адажио Альбинони».",Анимация,,,,
Адажио Альбинони,"Философская притча, рассказывающая о серой толпе, которая не знает и не хочет знать своей истории; о нетерпимости к чужому мнению, к чужой конфессии, к другому цвету кожи; о том, как искажаются последователями поиски вечных истин. На протяжении всего мультфильма звучит адажио соль минор Ремо Джадзотто, широко известное как «Адажио Альбинони».",Анимация,,,,
Чуча 1,"Если ты маленький, а вокруг одни взрослые, и до тебя никому нет дела - это грустно. Но если это ещё и происходит в новогоднюю ночь, то это - просто тоска. Фильм о мальчике, который сам себе смастерил из старых, ненужных вещей очень нужную ему няню - Чучу. И Чуча, как это бывает в сказках, оживает…",Анимация,,,,
Чуча 2,"Весёлые, полные опасных приключений, морские приключения Мальчика и Чучи.",Анимация,,,,
Чуча 3,"История мальчика и его няни, разыгранная на музыку Ж. Бизе – Р. Щедрина ""Кармен-сюита"". В их жизни появляется третий персонаж, щенок, что вызывает безумную ревность мальчика. Но всех примиряет любовь.",Анимация,,,,
Кармен-сюита,"История мальчика и его няни, разыгранная на музыку Ж. Бизе – Р. Щедрина ""Кармен-сюита"". В их жизни появляется третий персонаж, щенок, что вызывает безумную ревность мальчика. Но всех примиряет любовь.",Анимация,,,,
Гадкий утёнок,Странного вида утенок вылупляется из необычного яйца на птичьем дворе...,Анимация,,,,
Три мелодии,"Три сюжета, навеянные классическими музыкальными композициями: ""Элегия"" на музыку Жюля Массне; ""Исход"" на спиричуэл ""Go down Moses""; ""Рондо"" на музыку Камиля Сен-Санса.",Анимация,,,,
Элегия,"Три сюжета, навеянные классическими музыкальными композициями: ""Элегия"" на музыку Жюля Массне; ""Исход"" на спиричуэл ""Go down Moses""; ""Рондо"" на музыку Камиля Сен-Санса.",Анимация,,,,
Исход,"Три сюжета, навеянные классическими музыкальными композициями: ""Элегия"" на музыку Жюля Массне; ""Исход"" на спиричуэл ""Go down Moses""; ""Рондо"" на музыку Камиля Сен-Санса.",Анимация,,,,
Go down Moses,"Три сюжета, навеянные классическими музыкальными композициями: ""Элегия"" на музыку Жюля Массне; ""Исход"" на спиричуэл ""Go down Moses""; ""Рондо"" на музыку Камиля Сен-Санса.",Анимация,,,,
Рондо,"Три сюжета, навеянные классическими музыкальными композициями: ""Элегия"" на музыку Жюля Массне; ""Исход"" на спиричуэл ""Go down Moses""; ""Рондо"" на музыку Камиля Сен-Санса.",Анимация,,,,
Слушая Бетховена,Философская притча о величии свободы. Каменные джунгли мрачного города не оставляют ни одного ростка зелени. Но жажда жизни сильнее любых оков.,Анимация,,,,
